#												
#id	协议名称	是否加密	测试用									
id	rpc	encrypt	tests	tests2	tests3	jsonObject	object	testDouble	testFloat	testByte	testLong	testEnum
1	rpc_get_player	1	[1,2,3]	["tiger","tiger2"]	[false]	{"id":1}	{"name":"tiger"}	1	2	1	4	A
2	rpc_get_hero	1	[4,5,6]	["test"]	[true,true]	{"id":2}	{"id":1}	2	3	1	5	B
3	rpc_get_gun	1	[1,2,4]	["tiger","tiger3"]	[false]	{"id":3}	{"name":"tiger"}	3	4	1	6	C
4	rpc_user_login	1	[4,5,7]	["test"]	[true,true]	{"id":4}	{"id":2}	4	5	1	7	D
5	rpc_get_unity	1	[1,2,5]	["tiger","tiger4"]	[false]	{"id":5}	{"name":"tiger"}	5	6	1	8	A
6	rpc_user_login	1	[4,5,8]	["test"]	[true,true]	{"id":6}	{"id":3}	6	7	1	9	B
7	rpc_user_login	1	[1,2,6]	["tiger","tiger5"]	[false]	{"id":7}	{"name":"tiger"}	7	8	1	10	C
8	rpc_user_login	1	[4,5,9]	["test"]	[true,true]	{"id":8}	{"id":4}	8	9	1	11	D
9	rpc_user_login	1	[1,2,7]	["tiger","tiger6"]	[false]	{"id":9}	{"name":"tiger"}	9	10	1	12	A
10	rpc_user_login	1	[4,5,10]	["test"]	[true,true]	{"id":10}	{"id":5}	10	11	1	13	B
11	rpc_user_login	1	[1,2,8]	["tiger","tiger7"]	[false]	{"id":11}	{"name":"tiger"}	11	12	1	14	C
12	rpc_user_login	1	[4,5,11]	["test"]	[true,true]	{"id":12}	{"id":6}	12	13	1	15	D
13	rpc_user_login	1	[1,2,9]	["tiger","tiger8"]	[false]	{"id":13}	{"name":"tiger"}	13	14	1	16	A
14	rpc_user_login	1	[4,5,12]	["test"]	[true,true]	{"id":14}	{"id":7}	14	15	1	17	B
15	rpc_user_login	1	[1,2,10]	["tiger","tiger9"]	[false]	{"id":15}	{"name":"tiger"}	15	16	1	18	C
16	rpc_user_login	1	[4,5,13]	["test"]	[true,true]	{"id":16}	{"id":8}	16	17	1	19	D
17	rpc_user_login	1	[1,2,11]	["tiger","tiger10"]	[false]	{"id":17}	{"name":"tiger"}	17	18	1	20	A
18	rpc_user_login	1	[4,5,14]	["test"]	[true,true]	{"id":18}	{"id":9}	18	19	1	21	B
19	rpc_user_login	1	[1,2,12]	["tiger","tiger11"]	[false]	{"id":19}	{"name":"tiger"}	19	20	1	22	C
20	rpc_user_login	1	[4,5,15]	["test"]	[true,true]	{"id":20}	{"id":10}	20	21	1	23	D
21	rpc_user_login	1	[1,2,13]	["tiger","tiger12"]	[false]	{"id":21}	{"name":"tiger"}	21	22	1	24	A
22	rpc_user_login	1	[4,5,16]	["test"]	[true,true]	{"id":22}	{"id":11}	22	23	1	25	B
23	rpc_user_login	1	[1,2,14]	["tiger","tiger13"]	[false]	{"id":23}	{"name":"tiger"}	23	24	1	26	C
24	rpc_user_login	1	[4,5,17]	["test"]	[true,true]	{"id":24}	{"id":12}	24	25	1	27	D
25	rpc_user_login	1	[1,2,15]	["tiger","tiger14"]	[false]	{"id":25}	{"name":"tiger"}	25	26	1	28	A
26	rpc_user_login	1	[4,5,18]	["test"]	[true,true]	{"id":26}	{"id":13}	26	27	1	29	B
27	rpc_user_login	1	[1,2,16]	["tiger","tiger15"]	[false]	{"id":27}	{"name":"tiger"}	27	28	1	30	C
28	rpc_user_login	1	[4,5,19]	["test"]	[true,true]	{"id":28}	{"id":14}	28	29	1	31	D
29	rpc_user_login	1	[1,2,17]	["tiger","tiger16"]	[false]	{"id":29}	{"name":"tiger"}	29	30	1	32	A
30	rpc_user_login	1	[4,5,20]	["test"]	[true,true]	{"id":30}	{"id":15}	30	31	1	33	B
31	rpc_user_login	1	[1,2,18]	["tiger","tiger17"]	[false]	{"id":31}	{"name":"tiger"}	31	32	1	34	C
32	rpc_user_login	1	[4,5,21]	["test"]	[true,true]	{"id":32}	{"id":16}	32	33	1	35	D
33	rpc_user_login	1	[1,2,19]	["tiger","tiger18"]	[false]	{"id":33}	{"name":"tiger"}	33	34	1	36	A
34	rpc_user_login	1	[4,5,22]	["test"]	[true,true]	{"id":34}	{"id":17}	34	35	1	37	B
35	rpc_user_login	1	[1,2,20]	["tiger","tiger19"]	[false]	{"id":35}	{"name":"tiger"}	35	36	1	38	C
36	rpc_user_login	1	[4,5,23]	["test"]	[true,true]	{"id":36}	{"id":18}	36	37	1	39	D
37	rpc_user_login	1	[1,2,21]	["tiger","tiger20"]	[false]	{"id":37}	{"name":"tiger"}	37	38	1	40	A
38	rpc_user_login	1	[4,5,24]	["test"]	[true,true]	{"id":38}	{"id":19}	38	39	1	41	B
39	rpc_user_login	1	[1,2,22]	["tiger","tiger21"]	[false]	{"id":39}	{"name":"tiger"}	39	40	1	42	C
40	rpc_user_login	1	[4,5,25]	["test"]	[true,true]	{"id":40}	{"id":20}	40	41	1	43	D
41	rpc_user_login	1	[1,2,23]	["tiger","tiger22"]	[false]	{"id":41}	{"name":"tiger"}	41	42	1	44	A
42	rpc_user_login	1	[4,5,26]	["test"]	[true,true]	{"id":42}	{"id":21}	42	43	1	45	B
43	rpc_user_login	1	[1,2,24]	["tiger","tiger23"]	[false]	{"id":43}	{"name":"tiger"}	43	44	1	46	C
44	rpc_user_login	1	[4,5,27]	["test"]	[true,true]	{"id":44}	{"id":22}	44	45	1	47	D
45	rpc_user_login	1	[1,2,25]	["tiger","tiger24"]	[false]	{"id":45}	{"name":"tiger"}	45	46	1	48	A
46	rpc_user_login	1	[4,5,28]	["test"]	[true,true]	{"id":46}	{"id":23}	46	47	1	49	B
47	rpc_user_login	1	[1,2,26]	["tiger","tiger25"]	[false]	{"id":47}	{"name":"tiger"}	47	48	1	50	C
48	rpc_user_login	1	[4,5,29]	["test"]	[true,true]	{"id":48}	{"id":24}	48	49	1	51	D
49	rpc_user_login	1	[1,2,27]	["tiger","tiger26"]	[false]	{"id":49}	{"name":"tiger"}	49	50	1	52	A
50	rpc_user_login	1	[4,5,30]	["test"]	[true,true]	{"id":50}	{"id":25}	50	51	1	53	B
51	rpc_user_login	1	[1,2,28]	["tiger","tiger27"]	[false]	{"id":51}	{"name":"tiger"}	51	52	1	54	C
52	rpc_user_login	1	[4,5,31]	["test"]	[true,true]	{"id":52}	{"id":26}	52	53	1	55	D
53	rpc_user_login	1	[1,2,29]	["tiger","tiger28"]	[false]	{"id":53}	{"name":"tiger"}	53	54	1	56	A
